product_id,product_name,category,unit_price
PROD00001,Laptop,Electronics,65270.09
PROD00002,Headphones,Accessories,2258.1
PROD00003,Power Bank,Accessories,1793.31
PROD00004,USB Drive,Storage,604.16
PROD00005,USB Drive,Storage,740.62
PROD00006,Power Bank,Accessories,1654.23
PROD00007,Monitor,Electronics,20077.37
PROD00008,Desk,Furniture,12207.5
PROD00009,Office Chair,Furniture,9527.42
PROD00010,Printer,Office,14371.17
PROD00011,Printer,Office,15042.48
PROD00012,Printer,Office,14176.42
PROD00013,Monitor,Electronics,16372.31
PROD00014,Printer,Office,14648.19
PROD00015,Tablet,Electronics,29972.2
PROD00016,Router,Networking,3813.95
PROD00017,Office Chair,Furniture,9095.92
PROD00018,Desk,Furniture,13262.02
PROD00019,SSD 1TB,Storage,6210.09
PROD00020,Monitor,Electronics,17734.04
PROD00021,Keyboard,Accessories,1113.4
PROD00022,Smartphone,Electronics,38031.22
PROD00023,Desk,Furniture,13470.83
PROD00024,Monitor,Electronics,17097.26
PROD00025,USB Drive,Storage,714.43
PROD00026,Office Chair,Furniture,7438.68
PROD00027,USB Drive,Storage,621.46
PROD00028,Smartphone,Electronics,34267.78
PROD00029,Laptop,Electronics,57918.87
PROD00030,Mouse,Accessories,765.2
PROD00031,Headphones,Accessories,2462.02
PROD00032,Monitor,Electronics,18876.44
PROD00033,Monitor,Electronics,19499.04
PROD00034,Office Chair,Furniture,9371.58
PROD00035,Smartphone,Electronics,38653.73
PROD00036,Headphones,Accessories,2424.11
PROD00037,SSD 1TB,Storage,6562.26
PROD00038,Smartphone,Electronics,29803.25
PROD00039,Router,Networking,4135.95
PROD00040,Keyboard,Accessories,1223.71
PROD00041,Power Bank,Accessories,1558.08
PROD00042,Mouse,Accessories,691.79
PROD00043,Printer,Office,12666.58
PROD00044,Mouse,Accessories,850.52
PROD00045,Printer,Office,13237.43
PROD00046,Monitor,Electronics,18044.4
PROD00047,Keyboard,Accessories,1115.45
PROD00048,USB Drive,Storage,748.31
PROD00049,Tablet,Electronics,30495.18
PROD00050,SSD 1TB,Storage,7748.17
PROD00051,Monitor,Electronics,15671.73
PROD00052,Monitor,Electronics,16265.86
PROD00053,Headphones,Accessories,2466.87
PROD00054,Desk,Furniture,11481.16
PROD00055,Keyboard,Accessories,1328.91
PROD00056,Keyboard,Accessories,1217.31
PROD00057,Printer,Office,13906.77
PROD00058,Webcam,Accessories,3643.44
PROD00059,Monitor,Electronics,15532.06
PROD00060,SSD 1TB,Storage,7268.28
PROD00061,Office Chair,Furniture,7395.1
PROD00062,Router,Networking,4114.53
PROD00063,Router,Networking,4739.36
PROD00064,Router,Networking,4352.54
PROD00065,SSD 1TB,Storage,7666.81
PROD00066,Desk,Furniture,11138.38
PROD00067,Webcam,Accessories,3536.96
PROD00068,Router,Networking,4587.87
PROD00069,Keyboard,Accessories,1199.05
PROD00070,Desk,Furniture,10753.78
PROD00071,Smartphone,Electronics,38046.13
PROD00072,Webcam,Accessories,3040.48
PROD00073,SSD 1TB,Storage,7998.81
PROD00074,Desk,Furniture,12988.27
PROD00075,Router,Networking,4191.41
PROD00076,Power Bank,Accessories,1691.48
PROD00077,Tablet,Electronics,24030.55
PROD00078,Monitor,Electronics,19974.55
PROD00079,Power Bank,Accessories,1918.46
PROD00080,USB Drive,Storage,726.64
PROD00081,USB Drive,Storage,721.25
PROD00082,USB Drive,Storage,745.99
PROD00083,Smartphone,Electronics,39346.32
PROD00084,Headphones,Accessories,2619.37
PROD00085,Power Bank,Accessories,1970.4
PROD00086,Router,Networking,4172.19
PROD00087,Headphones,Accessories,2768.52
PROD00088,Mouse,Accessories,908.99
PROD00089,Mouse,Accessories,751.0
PROD00090,Laptop,Electronics,70879.56
PROD00091,Monitor,Electronics,18141.38
PROD00092,Desk,Furniture,10963.86
PROD00093,Laptop,Electronics,69481.78
PROD00094,Desk,Furniture,10546.11
PROD00095,Webcam,Accessories,3006.16
PROD00096,USB Drive,Storage,626.57
PROD00097,Desk,Furniture,10939.35
PROD00098,Printer,Office,13108.59
PROD00099,Smartphone,Electronics,33345.61
PROD00100,Mouse,Accessories,790.98
PROD00101,Keyboard,Accessories,1189.88
PROD00102,Monitor,Electronics,16054.15
PROD00103,Mouse,Accessories,894.54
PROD00104,Power Bank,Accessories,1749.56
PROD00105,Smartphone,Electronics,30662.0
PROD00106,Smartphone,Electronics,33957.59
PROD00107,Power Bank,Accessories,1981.06
PROD00108,Keyboard,Accessories,1118.65
PROD00109,Laptop,Electronics,70465.64
PROD00110,Mouse,Accessories,760.7
PROD00111,Printer,Office,12487.65
PROD00112,Mouse,Accessories,880.74
PROD00113,USB Drive,Storage,683.49
PROD00114,Headphones,Accessories,2405.38
PROD00115,SSD 1TB,Storage,8049.39
PROD00116,Smartphone,Electronics,33214.6
PROD00117,Office Chair,Furniture,8964.06
PROD00118,Headphones,Accessories,2383.48
PROD00119,Keyboard,Accessories,1058.66
PROD00120,Router,Networking,3690.22
PROD00121,Monitor,Electronics,17046.77
PROD00122,Laptop,Electronics,56872.07
PROD00123,Keyboard,Accessories,1093.27
PROD00124,Smartphone,Electronics,39478.06
PROD00125,Headphones,Accessories,2339.56
PROD00126,USB Drive,Storage,797.11
PROD00127,Tablet,Electronics,24576.3
PROD00128,Smartphone,Electronics,30684.36
PROD00129,Power Bank,Accessories,1933.34
PROD00130,Router,Networking,4544.88
PROD00131,USB Drive,Storage,801.65
PROD00132,Tablet,Electronics,31621.37
PROD00133,Headphones,Accessories,2842.03
PROD00134,Desk,Furniture,10652.17
PROD00135,Monitor,Electronics,17761.61
PROD00136,Power Bank,Accessories,1781.42
PROD00137,Smartphone,Electronics,37184.66
PROD00138,USB Drive,Storage,662.8
PROD00139,Smartphone,Electronics,32001.09
PROD00140,Monitor,Electronics,19606.91
PROD00141,Mouse,Accessories,842.17
PROD00142,Mouse,Accessories,839.38
PROD00143,Mouse,Accessories,913.82
PROD00144,Headphones,Accessories,2783.46
PROD00145,Tablet,Electronics,26378.97
PROD00146,Desk,Furniture,11548.23
PROD00147,USB Drive,Storage,694.86
PROD00148,USB Drive,Storage,605.63
PROD00149,Monitor,Electronics,17392.87
PROD00150,Mouse,Accessories,868.78
PROD00151,Office Chair,Furniture,7241.73
PROD00152,Power Bank,Accessories,1727.0
PROD00153,Smartphone,Electronics,36341.78
PROD00154,Router,Networking,4259.44
PROD00155,Keyboard,Accessories,1092.66
PROD00156,Smartphone,Electronics,38285.86
PROD00157,Laptop,Electronics,69730.26
PROD00158,SSD 1TB,Storage,7711.33
PROD00159,Printer,Office,13563.57
PROD00160,Printer,Office,16328.94
PROD00161,Laptop,Electronics,59355.4
PROD00162,Desk,Furniture,12716.53
PROD00163,Webcam,Accessories,3019.12
PROD00164,Keyboard,Accessories,1214.82
PROD00165,Webcam,Accessories,3614.76
